#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;;;;;;;;;;;;;;;;
dragon_egg;Owner of a Dragon Egg;Propriétaire d'un Œuf de Dragon;;;Propietario de un huevo de dragón;;;;;;;;;x;;;;;;;;;;;;;;;;
dragon_egg_desc;Dragons lay large; scaled eggs to reproduce. Over the eons un-hatched eggs can become fossilized. Dragons have no fixed gender differentiation - according to Maester Aemon dragons are 'but now one and now the other; as changeable as flame'; presumably meaning that they are able to change from one sex to the other and back for whatever reason. This means the mating habits of dragons are not fully understood.\n\nUpon the death of an owner of a dragon egg; the order of precendence for inheritance is:\n1- The current heir; if the same dynasty\n2- A child of of the same dynasty\n3- A sibling of the same dynasty\n4- Any member of the same dynasty\n5- The current heir\n6- Any child\n7- Spouse\n8- Liege\n9 -Any vassal;Les dragons naissent dans de grands oeufs. Au bout d'un certain temps; les oeufs qui n'ont pas éclos peuvent se fossiliser. Les dragons n'ont pas un genre prédéterminé; selon mestre Aemon les dragons peuvent être d'un genre puis d'un autre; changeant telles les flammes. Cela veut sûrement dire qu'ils sont capables de changer de sexe mais la reproduction des dragons reste un mystère.\n\nA la mort du propriétaire; l'ordre de succession pour hériter de l'oeuf de dragon est le suivant:\n1- L'actuel héritier; si il est de la même dynastie\n2- Un enfant de la même dynastie\n3- Un frère ou une soeur de la même dynastie\n4- N'importe quel membre de la même dynastie\n5- L'actuel héritier\n6- N'importe quel enfant\n7- L'épouse(x)\n8- Le suzerain\n9 -N'importe quel vassal;;;Los dragones nacen de grandes huevos. Tras un largo tiepo; los huevos que no han eclosionado pueden fosilizarse. Los dragones no tienen un género predeterminado y pueden cambiar de sexo; según el Maestre Aemon. De todos modos; la reproducción de los dragones sigue siendo un misterio.;;;;;;;;;x;;;
EVTDESCdragon.26;You have scoured the area in search of [From.GetFirstName]; and now you have finally cornered the beast; how shall I deal with [From.GetHerHim]?;Vous avez inspecté les environs à la recherche de [From.GetFirstName]; et vous êtes enfin parvenu à repérer la bête. Qu'allez-vous faire de(') [From.GetHerHim]?;;;Exploras el área en busca de [From.GetFirstName]; y finalmente consigues dar con la bestia. Qué vas a hacer con él?;;;;;;;;;x;;;;;;;;;;;;
EVTOPTAdragon.26;You are mine!;Tu m'appartiens !;;;Eres mío!;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTOPTBdragon.26;I will slay the beast!;Je vais terrasser la bête !;;;Mataré la bestia!;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTOPTCdragon.26;Better not stay here then..;Mieux vaut ne pas rester ici dans ce cas…;;;Mejor no quedarse aquí...;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTOPTDdragon.26;Soumission;Soumission;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESCdragon.28;After a hard fight you managed to kill [FromFrom.GetFirstName].;Après un dur combat; vous êtes parvenu à tuer [FromFrom.GetFirstName].;;;Tras un duro combate; consigues matar a [FromFrom.GetFirstName].;;;;;;;;;x;;;;;;;;;;;;;;
EVTOPTAdragon.28;I am a dragon slayer.;Je suis un tueur de dragon.;;;Soy un matadragones.;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTDESCdragon.30;What madness let you think you could defeat [FromFrom.GetFirstName] with a sword? You failed and will have to pay the price.;Quelle folie vous a fait croire que vous pouviez terrasser [FromFrom.GetFirstName] avec une épée ? Vous avez échoué et devez maintenant en payer le prix. ;;;Qué locura te ha hecho creer que podrías matar a [FromFrom.GetFirstName] con una espada? Has fracasado en tu intento y pagarás las consecuencias. ;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTOPTAdragon.30;Arggh!;Arggh !;;;Argh!;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTDESCdragon.34;Your dragon [From.GetFirstName] has been slain in battle by [FromFrom.GetTitledFirstNameWithDynastyAndTitleNoRegnal].;Votre dragon [From.GetFirstName] a été tué lors de la bataille par [FromFrom.GetTitledFirstNameWithDynastyAndTitleNoRegnal].;;;Tu dragón [From.GetFirstName] ha muerto en combate por [FromFrom.GetTitledFirstNameWithDynastyAndTitleNoRegnal].;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTOPTAdragon.34;Nooooooooo!;Noooonnnn !;;;Noooooooooo!;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTTOOLTIPdragon.31;Deploying your dragon will annihilate the enemy host; however it comes with a price. You put your dragon at risk; the land is burned and the people will dislike you for what you did to their lands;Déployer votre dragon va annihiler l'ost ennemi; mais cela n'est pas sans conséquence. Votre dragon s'est mis en danger; le pays est brûlé et les habitants vont vous haïr pour ce que vous avez fait à leurs terres ;;;Desplegar a tu dragón aniquilirá a la hueste enemiga; pero no sin consecuencias. Pones en riesgo a tu dragón; quemarás la tierra de la provincia y los habitantes te odiarán por ello.;;;;;;;;;x;;;;;;;;;;
EVTDESCAdragon.37;[From.GetTitledFirstNameWithDynastyAndTitleNoRegnal] tried to slay your dragon and failed. [From.GetSheHeCap] was beaten back by the flames and was severely burned.;[From.GetTitledFirstNameWithDynastyAndTitleNoRegnal] a tenté de tuer votre dragon et a échoué.  [From.GetSheHeCap] a été sévèrement brûlé(e);;;[From.GetTitledFirstNameWithDynastyAndTitleNoRegnal] ha intentado matar a tu dragón y ha fallado. Ha sido quemado severamente.;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTDESCBdragon.37;[From.GetTitledFirstNameWithDynastyAndTitleNoRegnal] tried to slay your dragon and failed. [From.GetSheHeCap] was beaten back by the flames and burnt to a crisp.;[From.GetTitledFirstNameWithDynastyAndTitleNoRegnal] a tenté de tuer votre dragon et a échoué.  [From.GetSheHeCap] a été brûlé vif(ve).;;;[From.GetTitledFirstNameWithDynastyAndTitleNoRegnal] ha intentado matar a tu dragón y ha fallado. Ha sido quemado vivo.;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTOPTAdragon.37;Fool.;Idiot.;;;Idiota.;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTDESCdragon.35;You tried to kill the dragon but someone else was faster.;Vous avez tenté de tuer le dragon mais quelqu'un d'autre a été plus rapide.;;;Has intentadi matar al dragón; pero alguien ha sido más rápido.;;;;;;;;;x;;;;;;;;;;;;;;;
EVTOPTAdragon.35;Well; it's dead now.;Bien; il est mort maintenant.;;;Bien; ya está muerto.;;;;;;;;;x;;;;;;;;;;;;;
EVTDESC3370037;[FromFrom.GetTitledFirstNameWithDynastyAndTitleNoRegnal] tried to fight your dragon but lost;[FromFrom.GetTitledFirstNameWithDynastyAndTitleNoRegnal] a tenté de combattre votre dragon mais a perdu .;;;[FromFrom.GetTitledFirstNameWithDynastyAndTitleNoRegnal] ha intentado combatir contra tu dragón pero ha perdido.;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTOPTA3370037;Fool.;Idiot.;;;Idiota.;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTDESCdragon.3;Attempt to hatch a dragon. (Note: This is a very dangerous event which is not to be taken lightly. The less knowledge you gathered about dragons; the more likely the hatching will fail. It could mean the death for you or a family member.);Tentative pour faire un éclore un dragon. (une action très dangereuse à ne pas prendre à la légère. Moins vous avez de connaissances sur les dragons; plus vous aurez de risques d'échouer. Un échec peut signifier votre mort ou celle d'un membre de votre famille);;;Intentar eclosionar un huevo de dragón. (Nota: es una acción muy peligrosa y no hay que tomarla a la ligera. Cuanto menos conocimientos tengas sobre los dragones; más probabilidades tendrás de fracasar. Un fracaso puede significar tu muerte o la de un miembro de tu familia);;;;;;;;;x;;;;;;;;;;;;;
EVTOPTAdragon.3;Yes;Oui;;;Si.;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTOPTBdragon.3;It's too dangerous;C'est trop dangereux.;;;Es demasiado peligroso.;;;;;;;;;x;;;;;;;;;;;;;;;;
hatch_dragon_dec;Hatch a dragon;Faire éclore un dragon.;;;Eclosionar un huevo de dragón.;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTDESCdragon.76;A new Age of Dragons begins: a dragon matures.;Un dragon a atteint sa maturité; un nouvel Age des Dragons a commencé.;;;Un dragón ha alcanzado su madurez; una nueva Era de los Dragones ha comenzado.;;;;;;;;;x;;;;;;;;;;;;;;
EVTOPTAdragon.77;What will it mean for me?;Qu'est-ce que cela signifie pour moi?;;;Qué significa eso para mí?;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTDESCdragon.77;With the last dragon dead; the Age of Dragons ends.;Avec la mort du dernier dragon; l'Age des Dragons prend fin.;;;Con la muerte del último dragón; la Era de los Dragones llega a su fin.;;;;;;;;;x;;;;;;;;;;;;;
EVTOPTAdragon.77;We might be better off without them.;Nous vivrons peut-être mieux sans eux.;;;Estaremos mejor sin ellos.;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTNAMEdragon.76;The Age of Dragons;L'Age des Dragons;;;La Era de los Dragones;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTNAMEdragon.77;The Age of Dragons ends;La fin de l'Age des Dragons;;;El fin de la Era de los Dragones;;;;;;;;;x;;;;;;;;;;;;;;;;
hatch_dragon_dec_desc;Attempt to hatch a dragon.;Tentative de faire éclore un dragon.;;;Intentar eclosionar un huevo de dragón.;;;;;;;;;x;;;;;;;;;;;;;;;;
field_of_fire_dec;Deploy your dragon in battle;Déployer votre dragon;;;Desplegar a tu dragón en combate;;;;;;;;;x;;;;;;;;;;;;;;;;
field_of_fire_dec_desc;Ride your dragon into the battle and turn the land into a field of fire.;Engager votre dragon dans la bataille et transformer le pays en un champs de feu.;;;Montar a tu dragón en combate y convertir la tierra en un campo de fuego.;;;;;;;;;x;;;;;;;;;;;;;;;;
siege_of_fire_dec;Deploy your dragon in the siege;Déployer votre dragon;;;Desplegar a tu dragón en el asedio;;;;;;;;;x;;;;;;;;;;;;;;;;
siege_of_fire_dec_desc;Ride your dragon into the battle and put an end to the siege.;Engager votre dragon dans la bataille et mettre fin au siège.;;;Montar a tu dragón en combate y poner fin al asedio.;;;;;;;;;x;;;;;;;;;;;;;;;;
tame_dragon_dec;Tame a Dragon;Apprivoiser un dragon;;;Domar un dragón;;;;;;;;;x;;;;;;;;;;;;;;;;
tame_dragon_dec_desc;Attempt to tame your wild beast.;Tentative d'apprivoiser votre bête sauvage.;;;Intentar domar a tu dragón salvaje;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTNAMEdragon.6;The Tragedy of [Root.Capital.GetName];La Tragédie de [Root.Capital.GetName];;;La Tragedia de [Root.Capital.GetName];;;;;;;;;x;;;;;;;;;;;;;;;;
EVTDESCdragon.6;What madness let you think you could hatch a dragon? You failed and will have to pay the price.;Quelle folie vous a fait croire que vous pouviez faire éclore un dragon? Vous avez échoué et devez maintenant en payer le prix.;;;Qué locura te ha hecho creer que podrías eclosionar un huevo de dragón? Has fracasado en tu intento y pagarás las consecuencias. ;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTOPTAdragon.6;Arggh!;Arggh !;;;Argh!;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTDESCdragon.25;The land is consumed by dragonfire and [From.GetTitledFirstNameWithDynastyAndTitleNoRegnal] is responsible for it.;Le pays est consumé par le feu de dragon et [From.GetTitledFirstNameWithDynastyAndTitleNoRegnal]en est responsable.;;;La provincia está consumida por el fuego de dragón y [From.GetTitledFirstNameWithDynastyAndTitleNoRegnal] es el responsable.;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTOPTAdragon.25;Madness!;Folie !;;;Locura!;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTDESCdragon.22;The dragon [From.GetFirstName] has built a lair in [Root.GetName] after escaping from [FromFrom.GetTitledFirstNameWithDynastyAndTitleNoRegnal].;Le dragon [From.GetFirstName] a construit son repaire à [Root.GetName] après avoir échappé à [FromFrom.GetTitledFirstNameWithDynastyAndTitleNoRegnal].;;;El dragón [From.GetFirstName] ha construido su guarida en [Root.GetName] tras escapar de [FromFrom.GetTitledFirstNameWithDynastyAndTitleNoRegnal].;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTOPTAdragon.22;Something must be done about it.;Quelque chose doit réagir.;;;Hay que hacer algo al respecto.;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTDESCdragon.24;The dragon's lair is gone.;Le repaire de dragon n'est plus.;;;La guarida del dragón ya no está.;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTOPTAdragon.24;Great!.;Parfait !;;;Perfecto!;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTDESCdragon.8;Your dragon has grown.;Votre dragon a grandi.;;;Tu dragón a crecido.;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTOPTAdragon.8;Great!;Parfait !;;;Perfecto!;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTDESCdragon.16;Travellers bring rumors of fire and blood. They say that a grown dragon has been slain by [FromFrom.GetTitledFirstNameWithDynastyAndTitleNoRegnal];Des voyageurs colportent des rumeurs de feu et de sang. Ils disent qu'un dragon en croissance a été tué par [FromFrom.GetTitledFirstNameWithDynastyAndTitleNoRegnal].;;;Los viajeros traen rumores de fuego y sangre. Dicen que un dragón crecido ha sido muerto por [FromFrom.GetTitledFirstNameWithDynastyAndTitleNoRegnal].;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTOPTAdragon.16;So brave!;Quelle bravoure !;;;Muy valiente!;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTDESCdragon.29;Travellers bring rumors of fire and blood. They say that the wild dragon [From.GetFirstName] has been slain by [FromFrom.GetTitledFirstNameWithDynastyAndTitleNoRegnal].;Des voyageurs colportent des rumeurs de feu et de sang. Ils disent que le dragon sauvage [From.GetFirstName] a été tué par [FromFrom.GetTitledFirstNameWithDynastyAndTitleNoRegnal].;;;Los viajeros traen rumores de fuego y sangre. Dicen que el dragón salvaje [From.GetFirstName] ha sido muerto por [FromFrom.GetTitledFirstNameWithDynastyAndTitleNoRegnal].;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTOPTAdragon.29;So brave!;Quelle bravoure !;;;Muy valiente!;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTDESCdragon.9;[From.GetFirstName] managed to break free from [From.GetHerHis] chains and set the much of the hinterlands of [From.Location.GetName] on fire. Even though you could catch [From.GetHerHim] before more harm was done; the smallfolk are upset.;[From.GetFirstName] a réussi à briser ses chaînes et a mis le feu à l'arrière-pays de [From.Location.GetName]. Même si vous avez pu le capturer avant que plus de mal n'ait été fait; le petit peuple est en colère.;;;Tu dragón ha conseguido romper sus cadenas y ha prendido fuego a la provincia. Aunque puedas capturarlo antes de que haga más daño; el pueblo llano está enfadado.;;;;;;;;;x;;;;;;;;;;;;;
EVTOPTAdragon.9;Perhaps it's time that I try and tame [From.GetHerHim]...;Peut-être est-il temps que j'essaye de l'apprivoiser…;;;Tal vez sea hora de domarlo...;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTOPTBdragon.9;It'll be best if [From.GetSheHe] is locked in the dragon pit;Peut-être vaudrait-il mieux qu'[From.GetSheHe] soit enfermé dans la fosse à dragon;;;Estará mejor encerrado en Pozo Dragón.;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTDESCdragon.18;Travellers bring rumors of fire and blood. They say that [From.GetFirstName] has escaped from the dungeons of [FromFrom.GetTitledFirstNameWithDynastyAndTitleNoRegnal] and has build a lair in [From.Capital.GetName].;Des voyageurs colportent des rumeurs de feu et de sang. Ils disent que [From.GetFirstName] s'est échappé du donjon de [FromFrom.GetTitledFirstNameWithDynastyAndTitleNoRegnal] et a construit un repaire à [From.Capital.GetName].;;;Los viajeros traen rumores de fuego y sangre. Dicen que [From.GetFirstName] se ha escapado del castillo de [FromFrom.GetTitledFirstNameWithDynastyAndTitleNoRegnal] y ha construido una guarida en [From.Capital.GetName].;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTOPTAdragon.18;What have you done [FromFrom.GetTitledFirstNameWithDynastyAndTitleNoRegnal]?!;Qu'avez-vous fait [From.GetTitledFirstNameWithDynastyAndTitleNoRegnal] ? !;;;Que habéis hecho [From.GetTitledFirstNameWithDynastyAndTitleNoRegnal]?;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTDESCdragon.19;[FromFrom.GetTitledFirstNameWithDynastyAndTitleNoRegnal] tried to catch the dragon [From.GetFirstName] and failed.;[FromFrom.GetTitledFirstNameWithDynastyAndTitleNoRegnal] a tenté de capturer le dragon [From.GetFirstName] et a échoué. ;;;[FromFrom.GetTitledFirstNameWithDynastyAndTitleNoRegnal] ha intentado capturar al dragón [From.GetFirstName] y ha fracasado. ;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTOPTAdragon.19;Where will it strike next?;Où va-t-il frapper la prochaine fois ?;;;Dónde atacará la próxima vez?;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTDESCdragon.67;[Root.PrimaryTitle.GetFOA]; [From.GetFirstNameWithDynasty]; the reknowned dragon rider; has declared war! [From.GetSheHeCap] claims [Root.PrimaryTitle.GetName] by right of conquest and demands our immediate surrender. Surely we cannot fight against such beasts? Surely we must surrender?;[Root.PrimaryTitle.GetFOA]; [From.GetFirstNameWithDynasty]; le fameux chevaucheur de dragon; nous a déclaré la guerre ! [From.GetSheHeCap] revendique [Root.PrimaryTitle.GetName] par droit de conquête et exige notre reddition immédiate. Est-il raisonnable de nous battre contre de telles bêtes ? Peut-être devrions nous nous rendre ? ;;;[Root.PrimaryTitle.GetFOA]; [From.GetFirstNameWithDynasty]; el afamado jinete de dragón; nos ha declarado la guerra!. Reclama el [Root.PrimaryTitle.GetName] por derecho de conquista y exige nuestra rendición inmediata. Sería prudente luchar contra tales bestias? Deberíamos rendirnos?;;;;;;;;;x;;;;;;;
EVTOPTAdragon.67;Yes; it is the wisest course;Oui; c'est la décision la plus sage.;;;Sí; es la decisión más sabia.;;;;;;;;;x;;;;;;;;;;;;;
EVTOPTBdragon.67;Never!;Jamais !;;;Jamás!;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTDESCdragon.68;[Root.PrimaryTitle.GetFOA]; I see not the point in conflict with you and your dragons; I hereby surrender and will swear to you my fealty forthwith.\n\n Regards;\n[From.GetFirstNameWithDynasty];[Root.PrimaryTitle.GetFOA]; je ne vois aucune raison de me battre contre vous et vos dragons; par la présente je me rends et je m'engage à vous jurer fidélité.\n\nCordialement;\n[From.GetFirstNameWithDynasty];;;[Root.PrimaryTitle.GetFOA]; no veo ninguna razón para luchar contra vos y vuestros dragones; por la presente me rindo y os juro lealtad.\n\nCordialmente;\n[From.GetFirstNameWithDynasty];;;;;;;;;x;;;;;;;
EVTOPTAdragon.68;[From.GetSheHeCap] is wise;[From.GetSheHeCap] est sage.;;;Es sabio.;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTDESCdragon.69;I have been slain in battle against this dragon riding usurper; and now as I have no heir my bannermen are willing to follow their conquest is complete...;J'ai été tué alors que je combattais cet usurpateur qui chevauche un dragon; et puisque je n'ai pas d'héritier; mes vassaux sont prêts à le suivre. Sa conquête est complète…;;;He muerto mientras combatía a este usurpador jinete de dragón; y como no tengo heredero; mis vasallos están dispuestos a seguirle. Ha completado su conquista...;;;;;;;;;x;;;;;;;;;;;
EVTOPTAdragon.69;This is the end of House [Root.GetOnlyDynastyName];C'est la fin de la Maison [Root.GetOnlyDynastyName].;;;Es el fin de la casa [Root.GetOnlyDynastyName].;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTDESCdragon.70;[Root.PrimaryTitle.GetFOA]; [From.GetFirstNameWithDynasty] has been slain; [From.GetHerHis] lands are now yours!;[Root.PrimaryTitle.GetFOA]; [From.GetFirstNameWithDynasty] a été tué(e); ses terres sont à nous désormais !;;;[Root.PrimaryTitle.GetFOA]; [From.GetFirstNameWithDynasty] ha muerto; sus tierras son nuestras ahora!;;;;;;;;;x;;;;;;;;;;
EVTOPTAdragon.70;[From.GetSheHeCap] should have surrendered when [From.GetSheHe] had the chance;[From.GetSheHeCap] aurait dû se rendre quand [From.GetSheHeCap] en avait la chance.;;;[From.GetSheHeCap] tendría que haberse rendido cuando tuvo su oportunidad.;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTDESCdragon.10;Breeding Dragons is a dangerous game; but you have managed to obtain a new clutch of Dragon eggs from [From.GetFirstName]!;L'élevage de dragons est un jeu dangereux; mais vous êtes parvenu à obtenir de nouveaux œufs de [From.GetFirstName] !;;;La cría de dragones es un juego peligroso; pero has logrado obtener nuevos huevos de [From.GetFirstName]!;;;;;;;;;x;;;;;;;;;;;;;
EVTOPTAdragon.10;I am an adept Dragon breeder afterall;Je suis un éleveur reconnu de Dragons après tout.;;;Soy un hábil criador de dragones después de todo!;;;;;;;;;x;;;;;;;;;;;;;;;;
bestowed_dragon_egg;Gave me a Dragon Egg;M'a donné un Œuf de Dragon;;;Me ha dado un huevo de dragón;;;;;;;;;x;;;;;;;;;;;;;;;;
bestow_dragon_egg;Grant a Dragon Egg;Donner un Œuf de Dragon;;;Dar un huevo de dragón;;;;;;;;;x;;;;;;;;;;;;;;;;
bestow_dragon_egg_desc;Your Dragon has yielded an egg. As [This.GetHerHis] [From.GetRootRelation]; you can bestow it upon [This.GetTitledFirstNameWithDynastyAndTitleNoRegnal].;Votre Dragon a pondu un œuf. Comme [This.GetHerHis] [From.GetRootRelation]; vous pouvez l'accorder à [This.GetTitledFirstNameWithDynastyAndTitleNoRegnal].;;;Tu dragón ha puesto un huevo. Como [This.GetHerHis] [From.GetRootRelation]; puedes dárselo a [This.GetTitledFirstNameWithDynastyAndTitleNoRegnal].;;;;;;;;;x;;;;;;;;;;;;;
TOOLTIPdragon.32B;Will mount a stern defense;vont préparer une puissante défense;;;preparan una poderosa defensa.;;;;;;;;;x;;;;;;;;;;;;;;;;
TOOLTIPdragon.32;Will mount a stern defense; but ultimately lose;vont préparer une puissante défense; mais finiront par perdre.;;;preparan una poderosa defensa; pero acabarán perdiendo.;;;;;;;;;x;;;;;;;;;;;;;
TOOLTIPdragon.39;Many residents of the castle will be burnt in the siege;De nombreux occupants du châteaux vont brûler vifs durant le siège.;;;Muchos ocupantes del castillo serán quemados vivos durante el asedio.;;;;;;;;;x;;;;;;;;;;;;;;;;
TOOLTIPdragon.40;The entire castle populace will be exterminated;Toute la population du château sera exterminée.;;;Toda la población del castillo será exterminada.;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTDESCdragon.39;[From.GetFirstNameWithDynasty] has sent the full force of [From.GetHerHis] dragon against the walls of [Root.Location.GetName]; and amidst the chaos many in the castle died horrific deaths; bathed in dragon flame. The castle ultimately fell.;[From.GetFirstNameWithDynasty] a déchaîné toute la puissance de ses dragons contre les murailles de [Root.Location.GetName]; dans le chaos des flammes; nombre de gens sont morts d'une horrible façon; brûlés vifs. Le château est finalement tombé. ;;;[From.GetFirstNameWithDynasty] a desatado todo el poder de sus dragones contra las murallas de [Root.Location.GetName]; en el caos de las llamas; muchos murieron de una forma terrible; quemados vivos. El castillo finalmente cayó. ;;;;;;;;;x;;;;;;;;
EVTOPTAdragon.39;A terrible day;Un jour terrible;;;Un día terrible;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTDESCdragon.40;Dire news; [Root.Location.GetName] has fallen to [From.GetFirstNameWithDynasty]. [From.GetSheHeCap] unleashed the full might of [From.GetHerHis] dragon against us; and not one person in the castle has survived; all dying agonising deaths whilst burning in dragonflame.;Sombres nouvelles; [Root.Location.GetName] est tombé aux mains de [From.GetFirstNameWithDynasty]. [From.GetSheHeCap] a déchaîné la pleine puissance de ses dragons contre nous et pas une seule personne n'a survécu. Tous les occupants du châteaux ont connu une mort horrible; brûlés vifs par le feudragon. ;;;Terribles noticias; [Root.Location.GetName] ha caído a manos de [From.GetFirstNameWithDynasty]. Desató todo el poder de sus dragones contra nosotros y no ha sobrevivido nadie. Todos los ocupantes del castillo murieron de una forma terrible; quemados vivos por el fuego de dragón. ;;;;;;;;;x;;;;;;;;;
EVTOPTAdragon.40;We should have surrendered;Nous aurions dû nous rendre.;;;Deberíamos habernos rendido.;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTDESCdragon.4010;Dire news; [Root.Location.GetName] has fallen to [FromFrom.GetFirstNameWithDynasty]. [FromFrom.GetSheHeCap] unleashed the full might of [FromFrom.GetHerHis] dragon against us; and not one person in the castle has survived; all dying agonising deaths whilst burning in dragonflame.;Sombres nouvelles; [Root.Location.GetName] est tombé aux mains de [From.GetFirstNameWithDynasty]. [From.GetSheHeCap] a déchaîné la pleine puissance de ses dragons contre nous et pas une seule personne n'a survécu. Tous les occupants du châteaux ont connu une mort horrible; brûlés vifs par le feudragon. ;;;Terribles noticias; [Root.Location.GetName] ha caído a manos de [FromFrom.GetFirstNameWithDynasty]. Desató todo el poder de sus dragones contra nosotros y no ha sobrevivido nadie. Todos los ocupantes del castillo murieron de una forma terrible; quemados vivos por el fuego de dragón. ;;;;;;;;;x;;;;;;;;;
EVTDESCdragon.41;[Root.PrimaryTitle.GetFOA]; The castle has fallen. Your dragon made quick work of it; bathing the defenders in dragonflame. Not one person survived the terror; [From.GetFirstNameWithDynasty] being amongst the dead.;[Root.PrimaryTitle.GetFOA]; le château est tombé. Vos dragons n'en ont fait qu'une bouchée; brûlant vif les défenseurs. Personne n'a survécu au feudragon; [From.GetFirstNameWithDynasty] fait partie des morts. ;;;[Root.PrimaryTitle.GetFOA]; el castillo ha caído. Vuestros dragones hicieron un rápido trabajo; quemando vivos a los defensores. Nadie ha sobrevivido al fuego de dragón; [From.GetFirstNameWithDynasty] es uno de los muertos. ;;;;;;;;;x;;;;;;;
EVTOPTAdragon.41;All kneel before the Dragon!;Que tout le monde plie le genou devant les dragons !;;;Que todo el mundo se arrodille ante los dragones!;;;;;;;;;x;;;;;;;;;;;;;;;;
has_burned_dragonflame;Burned in Dragon Flame;Brûlé vif par le feudragon;;;Quemado vivo por el fuego de dragón;;;;;;;;;x;;;;;;;;;;;;;;;;
has_burned_dragonflame_desc;This character died bathed in dragonflame;Ce personnage a été tué par le feudragon.;;;Este personaje ha muerto bañado por el fuego de dragón.;;;;;;;;;x;;;;;;;;;;;;;;;;
has_burned_dragonflame_death;burning in dragonflame;brûlé vif par un dragon;;;Quemado vivo por el fuego de dragón;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTDESCdragon.11;Your dragon [From.GetFirstName] has had a long life; but unfortunately [From.GetSheHe] is now dead; [From.GetHerHis] age finally catching up with [From.GetHerHim]. [From.GetSheHeCap] may have left a final clutch of dragon eggs however...;Votre dragon [From.GetFirstName] a eu une longue vie; mais [From.GetSheHe] vient malheureusement de mourir; son âge a fini par avoir raison de [From.GetHerHim]. [From.GetSheHeCap] a néanmoins peut-être pu laisser quelques œufs derrière lui… ;;;Tu dragón [From.GetFirstName] ha tenido una larga vida; pero desgraciadamente ha muerto. Il a néanmoins peut-être pu laisser quelques œufs derrière lui… ;;;;;;;;;x;;;;;;;;;;;
EVTOPTAdragon.11;It's skull should grace our halls;Son crâne ornera notre grande grande salle;;;Su cráneo honrará nuestro gran salón.;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTDESCdragon.1198;[Root.PrimaryTitle.GetFOA]; we have received word that the dragon [From.GetFirstName] has died in [From.Liege.Location.GetName]; apparently it just one day fell asleep and then never woke.;[Root.PrimaryTitle.GetFOA]; nous avons entendu dire que le dragon [From.GetFirstName] est mort à [From.Liege.Location.GetName]; apparemment il s'est endormi une nuit et ne s'est jamais réveillé.;;;[Root.PrimaryTitle.GetFOA]; hemos sabido que el dragón [From.GetFirstName] ha muerto en [From.Liege.Location.GetName]; parece que se durmió y no desperto más.;;;;;;;;;x;;;;;;;;;;
EVTOPTAdragon.1198;A legend fades;Une légende disparaît;;;La leyenda se desvanece;;;;;;;;;x;;;;;;;;;;;;;;;;
