#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
e_new_valyria;New Valyria;Nouvelle Valyria;;;Nueva Valyria;;;;;;;;;x
d_qohor_adj;Qohorik;Qohorien;Qohorik;Qohorik;Qohoriense;;;;;;;;;x
d_northern_forest_qohor;Forest of Qohor;Forêt de Qohor;;;Bosque de Qohor;;;;;;;;;x
d_southern_forest_qohor;Southern Forest;Forêt Méridionale;;;Bosque Meridional;;;;;;;;;x
d_darkwater;Darkwater;Sombres Eaux;;;Torrentenegro;;;;;;;;;x
c_qohor;Qohor;Qohor;Qohor;Qohor;Qohor;;;;;;;;;x
b_qohor;Qohor;Qohor;Qohor;Qohor;Qohor;;;;;;;;;x
b_qohorwalls;Walls of Qohor;Murs de Qohor;;;Murallas de Qohor;;;;;;;;;x
b_templeblackgoat;the Black Goat;la Chèvre Noire;;;la Cabra Negra;;;;;;;;;x
b_city_guard;the City Guard;du Guet;;;la Guardia de la Ciudad;;;;;;;;;x
b_smiths_port;Smith's Port;Port du Forgeron;;;Puerto del Herrero;;;;;;;;;x
b_goat_tower;Goat Tower;Tour de la Chèvre;;;Torre de la Cabra;;;;;;;;;x
b_qovaros;Qovaros;Qovaros;;;Qovaros;;;;;;;;;x
c_qhoyne;Qhoyne;Qhoyne;;;Qhoyne;;;;;;;;;x
b_qhoyne;Qhoyne;Qhoyne;;;Puerto del Qhoyne;;;;;;;;;x
b_qhoyne_castle;Qhoyne;Qhoyne;;;Atalaya del Qhoyne;;;;;;;;;x
b_qhoyne_temple;Qhoyne;Qhoyne;;;el Qhoyne;;;;;;;;;x
c_satholik;Satholik;Satholik;;;Satholik;;;;;;;;;x
b_satholik;Satholik;Satholik;;;Satholik;;;;;;;;;x
b_satholik_castle;Satholik;Satholik;;;Satholik;;;;;;;;;x
b_satholik_temple;Satholik;Satholik;;;Satholik;;;;;;;;;x
c_qohorikcoast;Hobreth;La Côte Qohorienne;;;Costa de Qohor;;;;;;;;;x
b_qohorikcoast;Hobreth;La Côte Qohorienne;;;Puerto de Qohor;;;;;;;;;x
b_qohorikcoast_castle;Hobreth;La Côte Qohorienne;;;Atalaya Costera;;;;;;;;;x
b_qohorikcoast_temple;Hobreth;La Côte Qohorienne;;;Costa de Qohor;;;;;;;;;x
c_goatwood;Goatwood;Chèvrebois;;;Bosque de la Cabra;;;;;;;;;x
b_goatwood;Goatwood;Chèvrebois;;;Cabrera;;;;;;;;;x
b_goatwood_castle;Goatwood;Chèvrebois;;;Torremoteada;;;;;;;;;x
b_goatwood_temple;Goatwood;Chèvrebois;;;Bosque de la Cabra;;;;;;;;;x
c_qovosar;Qovosar;Qovosar;;;Qovosar;;;;;;;;;x
b_qovosar;Qovosar;Qovosar;;;Qovosar;;;;;;;;;x
b_qovosar_castle;Qovosar;Qovosar;;;Qovosar;;;;;;;;;x
b_qovosar_temple;Qovosar;Qovosar;;;Qovosar;;;;;;;;;x
c_deepforest;Deep Forest;Forêt Profonde;;;Bosque Profundo;;;;;;;;;x
b_deepforest;Deep Forest;Forêt Profonde;;;Tigra;;;;;;;;;x
b_deepforest_castle;Deep Forest;Forêt Profonde;;;Fuerte Profundo;;;;;;;;;x
b_deepforest_temple;Deep Forest;Forêt Profonde;;;Bosque Profundo;;;;;;;;;x
c_sungrove;Sungrove;Solpinède;;;Soto Soleado;;;;;;;;;x
b_sungrove;Sungrove;Solpinède;;;Soto Soleado;;;;;;;;;x
b_sungrove_castle;Sungrove;Solpinède;;;Torresoto;;;;;;;;;x
b_sungrove_temple;Sungrove;Solpinède;;;Soto Soleado;;;;;;;;;x
c_malhor;Malhor;Malhor;;;Malhor;;;;;;;;;x
b_malhor;Malhor;Malhor;;;Malhor;;;;;;;;;x
b_malhor_castle;Malhor;Malhor;;;Malhor;;;;;;;;;x
b_malhor_temple;Malhor;Malhor;;;Malhor;;;;;;;;;x
c_darkbridge;Darkbridge;Noirpont;;;Puentenegro;;;;;;;;;x
b_darkbridge;Darkbridge;Noirpont;;;Puentenegro;;;;;;;;;x
b_darkbridge_castle;Darkbridge;Noirpont;;;Puentenegro;;;;;;;;;x
b_darkbridge_temple;Darkbridge;Noirpont;;;Puentenegro;;;;;;;;;x
c_watersmeet;Watersmeet;Confluent;;;Confluencias;;;;;;;;;x
b_watersmeet;Watersmeet;Confluent;;;Confluencias;;;;;;;;;x
b_watersmeet_castle;Watersmeet;Confluent;;;Torre del Afluente;;;;;;;;;x
b_watersmeet_temple;Watersmeet;Confluent;;;Confluencias;;;;;;;;;x
k_lorath;Lorath;Lorath;Lorath;Lorath;Lorath;;;;;;;;;x
k_lorath_adj;Lorathi;Lorathi;Lorathi;Lorathi;Lorathia;;;;;;;;;x
d_lorath;Lorath;Lorath;Lorath;Lorath;Lorath;;;;;;;;;x
d_lorath_adj;Lorathi;Lorathi;Lorathi;Lorathi;Lorathia;;;;;;;;;x
d_prince_lorath;Lorath;Lorath;Lorath;Lorath;Lorath;;;;;;;;;x
d_prince_lorath_adj;Lorathi;Lorathi;Lorathi;Lorathi;Lorathia;;;;;;;;;x
HARVESTPRINCE;Harvest Prince;;;;;;;;;;;;;x
d_lorath_bay;Lorath Bay;Baie de Lorath;;;Bahía de Lorath;;;;;;;;;x
d_the_axe;The Axe;La Hache;;;El Hacha;;;;;;;;;x
c_lorath;Lorath;Lorath;Lorath;Lorath;Lorath;;;;;;;;;x
b_lorath;Lorath;Lorath;Lorath;Lorath;Lorath;;;;;;;;;x
b_shivering_port;Shivering Port;Pointe Grelotte;;;Puerto de los Escalofríos;;;;;;;;;x
b_archons_keep;Archon's Keep;Tour de l'Archon;;;Torreón del Pescador;;;;;;;;;x
b_great_tower;The Great Tower;La Grande Tour;;;Torre de la Cosecha;;;;;;;;;x
b_moon;The Moon;La Lune;;;La Luna;;;;;;;;;x
b_asilath;Asilath;Asilath;;;Asilath;;;;;;;;;x
b_Ibewos;Ibewos;Ibewos;;;Ibewos;;;;;;;;;x
c_lorassyon;Lorassyon;Lorassyon;;;Lorassyon;;;;;;;;;x
b_lorassyon;Lorassyon;Lorassyon;;;Lorassyon;;;;;;;;;x
b_lorassyon_city;Lorassyon;Lorassyon;;;Lorassyon;;;;;;;;;x
b_lorassyon_temple;Lorassyon;Lorassyon;;;Lorassyon;;;;;;;;;x
c_lorathishore;Fisher Point;Le Rivage Lorathi;;;Costa Lorathi;;;;;;;;;x
b_lorathi_shore;Fisher Point;Le Rivage Lorathi;;;Puerto del Textil;;;;;;;;;x
b_lorathi_shorecastle;Fisher Point;Le Rivage Lorathi;;;Torreón Terciopelo;;;;;;;;;x
b_lorathi_shoretemple;Fisher Point;Le Rivage Lorathi;;;Costa Lorathi;;;;;;;;;x
c_elbateros;Elbateros;Elbateros;;;Elbateros;;;;;;;;;x
b_elbateros;Elbateros;Elbateros;;;Elbateros;;;;;;;;;x
b_elbateroscastle;Elbateros;Elbateros;;;Elbateros;;;;;;;;;x
b_elbaterostemple;Elbateros;Elbateros;;;Elbateros;;;;;;;;;x
c_shalorath;Shalorath;Shalorath;;;Shalorath;;;;;;;;;x
b_shalorathcastle;Shalorath;Shalorath;;;Shalorath;;;;;;;;;x
b_shalorath;Shalorath;Shalorath;;;Shalorath;;;;;;;;;x
b_shalorathtemple;Shalorath;Shalorath;;;Shalorath;;;;;;;;;x
c_morrogos;Morrogos;Morrogos;;;Morrogos;;;;;;;;;x
b_morrogoscastle;Morrogos;Morrogos;;;Morrogos;;;;;;;;;x
b_morrogos;Morrogos;Morrogos;;;Morrogos;;;;;;;;;x
b_morrogostemple;Morrogos;Morrogos;;;Morrogos;;;;;;;;;x
c_antaryonos;Antaryonos;Antaryonos;;;Antaryonos;;;;;;;;;x
b_antaryonos;Antaryonos;Antaryonos;;;Antaryonos;;;;;;;;;x
b_antaryonoscastle;Antaryonos;Antaryonos;;;Antaryonos;;;;;;;;;x
b_antaryonostemple;Antaryonos;Antaryonos;;;Antaryonos;;;;;;;;;x
c_willowsreach;Willowsreach;Les Saules;;;Los Sauces;;;;;;;;;x
b_willowsreach2;Willowsreach;Les Saules;;;Los Sauces;;;;;;;;;x
b_willowsreach1;Willowsreach;Les Saules;;;Los Sauces;;;;;;;;;x
b_willowsreach3;Willowsreach;Les Saules;;;Los Sauces;;;;;;;;;x
c_whitecliffs;White Cliffs;Falaises Blanches;;;Acantilados Blancos;;;;;;;;;x
b_whitecliffs;White Cliffs;Falaises Blanches;;;Acantilados Blancos;;;;;;;;;x
b_whitecliffscastle;White Cliffs;Falaises Blanches;;;Acantilados Blancos;;;;;;;;;x
b_whitecliffstemple;White Cliffs;Falaises Blanches;;;Acantilados Blancos;;;;;;;;;x
c_axe;The Axe;La Hache;;;El Hacha;;;;;;;;;x
b_axe;The Axe;La Hache;;;El Hacha;;;;;;;;;x
b_axecastle;The Axe;La Hache;;;El Hacha;;;;;;;;;x
b_axetemple;The Axe;La Hache;;;El Hacha;;;;;;;;;x
c_axemountains;Axe Mountains;Montagnes de la Hache;;;Montañas del Hacha;;;;;;;;;x
b_axemountains;Axe Mountains;Montagnes de la Hache;;;Resina de Ámbar;;;;;;;;;x
b_axemountainscastle;Axe Mountains;Montagnes de la Hache;;;Torreón Resina;;;;;;;;;x
b_axemountainstemple;Axe Mountains;Montagnes de la Hache;;;Montañas del Hacha;;;;;;;;;x
k_volantis;Volantis;Volantis;;;Volantis;;;;;;;;;x
k_volantis_adj;Volantene;Volantain;;;Volantina;;;;;;;;;x
d_volantis;Volantis;Volantis;;;Volantis;;;;;;;;;x
c_oldvolantis;Old Volantis;Antique Volantis;;;Antigua Volantis;;;;;;;;;x
b_oldvolantis;Old Volantis;Antique Volantis;;;Antigua Volantis;;;;;;;;;x
b_blackwall;The Black Wall;Le Mur Noir;;;El Muro Negro;;;;;;;;;x
b_dragon_hill;Dragon Hill;Colline du Dragon;;;Plaza del Pescadero;;;;;;;;;x
b_rhoyne_manor;Rhoyne Manor;Manoir de la Rhoyne;;;Feudo del Rhoyne;;;;;;;;;x
b_blood_palace;Blood Palace;Palais du Sang;;;Palacio de la Sangre;;;;;;;;;x
b_izulepsia;Izulepsia;Izulepsia;;;Izulepsia;;;;;;;;;x
c_volantis;Volantis;Volantis;;;Volantis;;;;;;;;;x
b_volantis;Volantis;Volantis;;;Volantis;;;;;;;;;x
b_volantisgates;Gates of Volantis;Portes de Volantis;;;Puertas de Volantis;;;;;;;;;x
b_volantisharbor;Volantis Harbor;Port de Volantis;;;Puerto de Volantis ;;;;;;;;;x
b_brokengate;Broken Gate;Porte Brisée;;;Puerta Rota;;;;;;;;;x
b_longbridge;Long Bridge;Long Pont;;;Puente Largo;;;;;;;;;x
c_volantenecoast;Arlior Geron;Arlior Geron;;;Arlior Geron;;;;;;;;;x
b_volantenecoast;Arlior Geron;Arlior Geron;;;Villarrayas;;;;;;;;;x
b_volantenecoast_castle;Arlior Geron;Arlior Geron;;;Torre de los Capas de Tigre;;;;;;;;;x
b_volantenecoast_temple;Arlior Geron;Arlior Geron;;;Costa Volantina;;;;;;;;;x
d_orange_shore;The Orange Shore;La Côte d'Orange;;;Costa Naranja;;;;;;;;;x
c_orangeplains;Honors Port;Port Honors;;;Puerto Honores;;;;;;;;;x
b_orangeplains;Honors Port;Port Honors;;;Puerto Honores;;;;;;;;;x
b_orangeplains_castle;Honors Port;Port Honors;;;Torre de los Honores;;;;;;;;;x
b_orangeplains_temple;Honors Port;Port Honors;;;Puerto Honores;;;;;;;;;x
c_orangeislands;Olvys Mell;Olvys Mell;;;Olvys Mell;;;;;;;;;x
b_orangeislands;Olvys Mell;Olvys Mell;;;Olvys Mell;;;;;;;;;x
b_orangeislands_castle;Olvys Mell;Olvys Mell;;;Olvys Mell;;;;;;;;;x
b_orangeislands_temple;Olvys Mell;Olvys Mell;;;Olvys Mell;;;;;;;;;x
c_orangeshore;Vedys Lands;Terres de Vedys;;;Tierras de Vedys;;;;;;;;;x
b_orangeshore;Vedys Lands;Terres de Vedys;;;El Remolachar;;;;;;;;;x
b_orangeshore_castle;Vedys Lands;Terres de Vedys;;;Fuerte Remolacha;;;;;;;;;x
b_orangeshore_temple;Vedys Lands;Terres de Vedys;;;Tierras de Vedys;;;;;;;;;x
d_volontherys;Volon Therys;Volon Therys;;;Volon Therys;;;;;;;;;x
c_volontherys;Volon Therys;Volon Therys;;;Volon Therys;;;;;;;;;x
b_volontherys;Volon Therys;Volon Therys;;;Volon Therys;;;;;;;;;x
b_volontherys_castle;Volon Therys;Volon Therys;;;Volon Therys;;;;;;;;;x
b_volontherys_temple;Volon Therys;Volon Therys;;;Volon Therys;;;;;;;;;x
d_valysar;Valysar;Valysar;;;Valysar;;;;;;;;;x
c_valysar;Valysar;Valysar;;;Valysar;;;;;;;;;x
b_valysar;Valysar;Valysar;;;Valysar;;;;;;;;;x
b_valysar_castle;Valysar;Valysar;;;Valysar;;;;;;;;;x
b_valysar_temple;Valysar;Valysar;;;Valysar;;;;;;;;;x
d_selhorys;Selhorys;Selhorys;;;Selhorys;;;;;;;;;x
c_selhorys;Selhorys;Selhorys;;;Selhorys;;;;;;;;;x
b_selhorys;Selhorys;Selhorys;;;Selhorys;;;;;;;;;x
b_selhorys_castle;Selhorys;Selhorys;;;Selhorys;;;;;;;;;x
b_selhorys_temple;Selhorys;Selhorys;;;Selhorys;;;;;;;;;x
c_selhoru;Selhoru;Selhoru;;;Selhoru;;;;;;;;;x
b_selhoru;Selhoru;Selhoru;;;Selhoru;;;;;;;;;x
b_selhoru2;Selhoru;Selhoru;;;Selhoru;;;;;;;;;x
b_selhoru3;Selhoru;Selhoru;;;Selhoru;;;;;;;;;x
c_death_swamps;Death Swamps;Marais de la Mort;;;Pantanos de la Muerte;;;;;;;;;x
b_death_swamps;Death Swamps;Marais de la Mort;;;Pantanos de la Muerte;;;;;;;;;x
b_death_swamps2;Death Swamps;Marais de la Mort;;;Pantanos de la Muerte;;;;;;;;;x
b_death_swamps3;Death Swamps;Marais de la Mort;;;Pantanos de la Muerte;;;;;;;;;x
c_mavlys;Mavlys;Mavlys;;;Mavlys;;;;;;;;;x
b_mavlys;Mavlys;Mavlys;;;Mavlys;;;;;;;;;x
b_mavlys_castle;Mavlys;Mavlys;;;Mavlys;;;;;;;;;x
b_mavlys_temple;Mavlys;Mavlys;;;Mavlys;;;;;;;;;x
d_valonsar;Valon Sar;Valon Sar;;;Valon Sar;;;;;;;;;x
c_valonsar;Valon Sar;Valon Sar;;;Valon Sar;;;;;;;;;x
b_valonsar;Valon Sar;Valon Sar;;;Valon Sar;;;;;;;;;x
b_valonsar_castle;Valon Sar;Valon Sar;;;Valon Sar;;;;;;;;;x
b_valonsar_temple;Valon Sar;Valon Sar;;;Valon Sar;;;;;;;;;x
c_armynar;Ar Mynar;Ar Mynar;;;Ar Mynar;;;;;;;;;x
b_armynar;Ar Mynar;Ar Mynar;;;Ar Mynar;;;;;;;;;x
b_armynar_castle;Ar Mynar;Ar Mynar;;;Ar Mynar;;;;;;;;;x
b_armynar_temple;Ar Mynar;Ar Mynar;;;Ar Mynar;;;;;;;;;x
d_volantene_disputed_lands;Volantene Disputed Lands;Terres Disputées Volantaines;;;Tierras de la Discordia Volantinas;;;;;;;;;x
c_plainsofmaegys;Plains of Maegys;Plaines des Maegis;;;Llanuras de las Maegis;;;;;;;;;x
b_plainsofmaegys;Plains of Maegys;Plaines des Maegis;;;Aldea de las Maegis;;;;;;;;;x
b_plainsofmaegys_castle;Plains of Maegys;Plaines des Maegis;;;Torreón de las Maegis;;;;;;;;;x
b_plainsofmaegys_temple;Plains of Maegys;Plaines des Maegis;;;Llanuras de las Maegis;;;;;;;;;x
c_anyria;Anyria;Anyria;;;Anyria;;;;;;;;;x
b_anyria;Anyria;Anyria;;;Anyria;;;;;;;;;x
b_anyria_castle;Anyria;Anyria;;;Anyria;;;;;;;;;x
b_anyria_temple;Anyria;Anyria;;;Anyria;;;;;;;;;x
c_laboros;Laboros;Laboros;;;Laboros;;;;;;;;;x
b_laboros;Laboros;Laboros;;;Laboros;;;;;;;;;x
b_laboros_castle;Laboros;Laboros;;;Laboros;;;;;;;;;x
b_laboros_temple;Laboros;Laboros;;;Laboros;;;;;;;;;x
c_dreos;Dreos;Dreos;;;Dreos;;;;;;;;;x
b_dreos;Dreos;Dreos;;;Dreos;;;;;;;;;x
b_dreos_castle;Dreos;Dreos;;;Dreos;;;;;;;;;x
b_dreos_temple;Dreos;Dreos;;;Dreos;;;;;;;;;x
c_sar_mell;Sar Mell;Sar Mell;;;Sar Mell;;;;;;;;;x
b_sar_mell;Sar Mell;Sar Mell;;;Sar Mell;;;;;;;;;x
b_sar_mellcastle;Sar Mell;Sar Mell;;;Sar Mell;;;;;;;;;x
b_sar_melltemple;Sar Mell;Sar Mell;;;Sar Mell;;;;;;;;;x
b_flower_port;Flower Port;Port-Fleuri;;;Puerto de las Flores;;;;;;;;;x
b_pale_tower;Pale Tower;Tour Pâle;;;Torre Baldía;;;;;;;;;x
c_little_valyria;Little Valyria;Petite Valyria;;;Pequeña Valyria;;;;;;;;;x
b_little_valyriacastle;Little Valyria;Petite Valyria;;;Torre Valyria;;;;;;;;;x
b_little_valyria;Little Valyria;Petite Valyria;;;Pequeña Valyria;;;;;;;;;x
b_little_valyriatemple;Little Valyria;Petite Valyria;;;Pequeña Valyria;;;;;;;;;x
c_vasyugys;Vasyugys;Vasyugys;;;Vasyugys;;;;;;;;;x
b_vasyugys;Vasyugys;Vasyugys;;;Vasyugys;;;;;;;;;x
b_vasyugyscastle;Vasyugys;Vasyugys;;;Vasyugys;;;;;;;;;x
b_vasyugystemple;Vasyugys;Vasyugys;;;Vasyugys;;;;;;;;;x
c_berg;Berg;Berg;;;Berg;;;;;;;;;x
b_berg;Berg;Berg;;;Berg;;;;;;;;;x
b_sierck;Sierck;Sierck;;;Sierck;;;;;;;;;x
b_bergtemple;Berg;Berg;;;Berg;;;;;;;;;x
c_tyvis;Sarhoy;Sarhoy;;;Sarhoy;;;;;;;;;x
b_tyvis;Sarhoy;Sarhoy;;;Sarhoy;;;;;;;;;x
b_tyviscastle;Sarhoy;Sarhoy;;;Sarhoy;;;;;;;;;x
b_tyvistemple;Sarhoy;Sarhoy;;;Sarhoy;;;;;;;;;x
b_salt_town;Salt Town;Saunier;;;Villasal;;;;;;;;;x
b_mothers_canal;Mother's Canal;Canal de la Mère;;;Canal de la Madre;;;;;;;;;x
d_volaena;Volaena;Volaena;;;Volaena;;;;;;;;;x
c_volaena;Volaena;Volaena;;;Volaena;;;;;;;;;x
b_volaena;Volaena;Volaena;;;Volaena;;;;;;;;;x
b_volaena2;Volaena;Volaena;;;Volaena;;;;;;;;;x
b_volaena3;Volaena;Volaena;;;Volaena;;;;;;;;;x
c_vysyria;Vysyria;Vysyria;;;Vysyria;;;;;;;;;x
b_vysyria;Vysyria;Vysyria;;;Vysyria;;;;;;;;;x
b_vysyria2;Vysyria;Vysyria;;;Vysyria;;;;;;;;;x
b_vysyria3;Vysyria;Vysyria;;;Vysyria;;;;;;;;;x
d_rhllor;R'hllor;R'hllor;R'hllor;R'hllor;R'hllor;;;;;;;;;x
c_fiery_hand;The Fiery Hand;La Main Ardente;;;La Mano Llameante;;;;;;;;;x
c_templelordoflight;The Great Plaza;Temple du Maître de la Lumière;Temple of The Lord of Light;Temple of The Lord of Light;La Gran Plaza;;;;;;;;;x
b_templelordoflight;The Temple of The Lord of Light;Le Maître de la Lumière;Temple of The Lord of Light;Temple of The Lord of Light;Templo del Señor de la Luz;;;;;;;;;x
create_k_stepstones;Crown Self Pirate King of the Stepstones;Se couronner Roi des Degrés de Pierre;;;Coronarse Rey Pirata de los Peldaños de Piedra;;;;;;;;;x
create_k_stepstones_desc;The pirates that lurk in the Stepstones usually owe fealty to no one but themselves but every now and again an ambitious pirate is able to rise above the rest and crown himself the Pirate King;Les pirates qui sévissent dans les Degrés de Pierre ne jurent fidélité à personne sinon à eux-mêmes. Mais de temps à autre, un pirate ambitieux parvient à se hisser au dessus du lot et à se couronner Roi Pirate.;;;Los piratas que acechan en los Peldaños de Piedra no deben lealtad a nadie más que a sí mismos, pero de vez en cuando un pirata ambicioso es capaz de elevarse por encima del resto y coronarse Rey Pirata.;;;;;;;;;x
k_stepstones;The Stepstones;Les Degrés de Pierre;;;Los Peldaños de Piedra;;;;;;;;;x
d_central_stepstones;The Central Stepstones;Les Degrés de Pierre centraux;;;Los Peldaños de Piedra Centrales;;;;;;;;;x
d_western_stepstones;The Western Stepstones;Les Degrés de Pierre occidentaux;;;Los Peldaños de Piedra Occidentales;;;;;;;;;x
d_northern_stepstones;The Northern Stepstones;Les Degrés de Pierre septentrionaux;;;Los Peldaños de Piedra Septentrionales;;;;;;;;;x
d_southern_stepstones;The Southern Stepstones;Les Degrés de Pierre méridionaux;;;Los Peldaños de Piedra Meridionales;;;;;;;;;x
c_sunstone;Sunstone;Solpierre;;;Piedra del Sol;;;;;;;;;x
b_sunstone;Sunstone;Solpierre;;;Piedra del Sol;;;;;;;;;x
c_bloodstone;Bloodstone;Peyresangues;;;Piedrasangre;;;;;;;;;x
b_bloodstone;Bloodstone;Peyresangues;;;Piedrasangre;;;;;;;;;x
c_greygallows;Grey Gallows;Grises Potences;;;Horca Gris;;;;;;;;;x
b_greygallows;Grey Gallows;Grises Potences;;;Horca Gris;;;;;;;;;x
c_darkden;Darkden;Noirepayre;;;Guaridaoscura;;;;;;;;;x
b_darkden;Darkden;Noirepayre;;;Guaridaoscura;;;;;;;;;x
c_theskulls;The Skulls;Les Crânes;;;Los Cráneos;;;;;;;;;x
b_theskulls;The Skulls;Les Crânes;;;Los Cráneos;;;;;;;;;x
c_torturersdeep;Torturer's Deep;Trou du Tortionnaire;;;Abismo del Torturador;;;;;;;;;x
b_torturersdeep;Torturer's Deep;Trou du Tortionnaire;;;Abismo del Torturador;;;;;;;;;x
c_lastrefuge;Last Refuge;Ultime Refuge;;;Último Refugio;;;;;;;;;x
b_lastrefuge;Last Refuge;Ultime Refuge;;;Último Refugio;;;;;;;;;x
c_shameisle;Shame Isle;Ile de la Honte;;;Isla de la Vergüenza;;;;;;;;;x
b_shameisle;Shame Isle;Ile de la Honte;;;Isla de la Vergüenza;;;;;;;;;x
c_wreckstone;Wreckstone;Peyrépave;;;Piedra Ruinosa;;;;;;;;;x
b_wreckstone;Wreckstone;Peyrépave;;;Piedra Ruinosa;;;;;;;;;x
c_littletyrosh;Little Tyrosh;Petite Tyrosh;;;Pequeña Tyrosh;;;;;;;;;x
b_littletyrosh;Little Tyrosh;Petite Tyrosh;;;Pequeña Tyrosh;;;;;;;;;x
b_littletyrosh_castle;Little Tyrosh;Petite Tyrosh;;;Torre Pequeña;;;;;;;;;x
b_littletyrosh_temple;Little Tyrosh;Petite Tyrosh;;;el Mar Tyroshi;;;;;;;;;x
k_rhoynar;The Rhoynar;Le Rhoynar;;;Los Rhoynar;;;;;;;;;x
k_rhoynar_adj;Rhoynar;Rhoynar;;;Rhoynar;;;;;;;;;x
d_golden_fields;The Golden Fields;Les Champs Dorés;;;Campos Dorados;;;;;;;;;x
d_ar_noy;Ar Noy;Ar Noy;;;Ar Noy;;;;;;;;;x
d_ny_sar;Ny Sar;Ny Sar;;;Ny Sar;;;;;;;;;x
d_lower_rhoyne;Lower Rhoyne;Basse Rhoyne;;;Bajo Rhoyne;;;;;;;;;x
c_ny_sar;Ny Sar;Ny Sar;;;Ny Sar;;;;;;;;;x
b_nymeria_palace;Nymeria Palace;Palais de Nymeria;;;Palacio de Nymeria;;;;;;;;;x
b_ny_sar;Ny Sar;Ny Sar;;;Ny Sar;;;;;;;;;x
b_ny_sartemple;Ny Sar;Ny Sar;;;Ny Sar;;;;;;;;;x
b_sar_drea;Sar Drea;Sar Drea;;;Sar Drea;;;;;;;;;x
b_ar_geryas;Ar Geryas;Ar Geryas;;;Ar Geryas;;;;;;;;;x
b_dhielyas;Dheilyas;Dheilyas;;;Dheilyas;;;;;;;;;x
b_pryellys;Pryellys;Pryellys;;;Pryellys;;;;;;;;;x
c_ar_noy;Ar Noy;Ar Noy;;;Ar Noy;;;;;;;;;x
b_ar_noy_castle;Ar Noy Palace;Palais d'Ar Noy;;;Palacio de Ar Noy;;;;;;;;;x
b_ar_noy;Ar Noy;Ar Noy;;;Ar Noy;;;;;;;;;x
b_ar_noytemple;Ar Noy;Ar Noy;;;Ar Noy;;;;;;;;;x
b_sar_erilidies;Sar Erilidyes;Sar Erilidyes;;;Sar Erilidyes;;;;;;;;;x
b_glohulu;Glohulu;Glohulu;;;Glohulu;;;;;;;;;x
c_daggerlake;Dagger Lake;Lac de la Dague;;;Lago Daga;;;;;;;;;x
b_daggerlake;Dagger Lake;Lac de la Dague;;;Lago Daga;;;;;;;;;x
b_daggerlake_castle;Dagger Lake;Lac de la Dague;;;Lago Daga;;;;;;;;;x
b_daggerlake_temple;Dagger Lake;Lac de la Dague;;;Lago Daga;;;;;;;;;x
c_nyrhonvalley;Ny Rhon Valley;Vallée de Ny Rhon;;;Valle de Ny Rhon;;;;;;;;;x
b_nyrhonvalley;Ny Rhon Valley;Vallée de Ny Rhon;;;Valle de Ny Rhon;;;;;;;;;x
b_nyrhonvalleycastle;Ny Rhon Valley;Vallée de Ny Rhon;;;Valle de Ny Rhon;;;;;;;;;x
b_nyrhonvalleytemple;Ny Rhon Valley;Vallée de Ny Rhon;;;Valle de Ny Rhon;;;;;;;;;x
c_sar_lhorulys;Sar Lhorulys;Sar Lhorulys;;;Sar Lhorulys;;;;;;;;;x
b_sar_lhorulyscastle;Sar Lhorulys;Sar Lhorulys;;;Sar Lhorulys;;;;;;;;;x
b_sar_lhorulys;Sar Lhorulys;Sar Lhorulys;;;Sar Lhorulys;;;;;;;;;x
b_sar_lhorulystemple;Sar Lhorulys;Sar Lhorulys;;;Sar Lhorulys;;;;;;;;;x
c_northfields;Northfields;Champs du Nord;;;Campos del Norte;;;;;;;;;x
b_northfields;Northfields;Champs du Nord;;;Campos del Norte;;;;;;;;;x
b_northfieldscastle;Northfields;Champs du Nord;;;Campos del Norte;;;;;;;;;x
b_northfieldstemple;Northfields;Champs du Nord;;;Campos del Norte;;;;;;;;;x
c_goldenbridge;Goldenbridge;Pont Doré;;;Puente Dorado;;;;;;;;;x
b_goldenbridgecastle;Goldenbridge;Pont Doré;;;Puente Dorado;;;;;;;;;x
b_goldenbridge;Goldenbridge;Pont Doré;;;Puente Dorado;;;;;;;;;x
b_goldenbridgetemple;Goldenbridge;Pont Doré;;;Puente Dorado;;;;;;;;;x
c_lhorulu;Lhorulu;Lhorulu;;;Lhorulu;;;;;;;;;x
b_lhorulu;Lhorulu;Lhorulu;;;Lhorulu;;;;;;;;;x
b_lhorulucastle;Lhorulu;Lhorulu;;;Lhorulu;;;;;;;;;x
b_lhorulutemple;Lhorulu;Lhorulu;;;Lhorulu;;;;;;;;;x
c_sar_rhoy;Sar Rhoy;Sar Rhoy;;;Sar Rhoy;;;;;;;;;x
b_sar_rhoy_castle;Sar Rhoy;Sar Rhoy;;;Sar Rhoy;;;;;;;;;x
b_sar_rhoy;Sar Rhoy;Sar Rhoy;;;Sar Rhoy;;;;;;;;;x
b_sar_rhoytemple;Sar Rhoy;Sar Rhoy;;;Sar Rhoy;;;;;;;;;x
c_chroyane;Chroyane;Chroyane;;;Chroyane;;ojo;;;;;;;x
b_palace_of_love;Palace of Love;Palais de l'Amour;;;Palacio del Amor;;ojo;;;;;;;x
b_chroyane;Chroyane;Chroyane;;;Chroyane;;ojo;;;;;;;x
b_chroyanetemple;Chroyane;Chroyane;;;Chroyane;;ojo;;;;;;;x
b_sar_velrys;Sar Velrys;Sar Velrys;;;Sar Velrys;;;;;;;;;x
b_sunfall;Sunfall;Solfin;;;Puente del Sueño;;;;;;;;;x
